delivery_id,distance_km,traffic_index,rainfall,rider_count,delayed
100,24,5,0,41,0
101,13,4,0,9,0
102,19,5,1,16,1
103,11,2,0,30,0
104,9,7,0,41,0
105,13,7,1,18,1
106,22,4,1,34,1
107,21,6,1,7,1
108,11,9,1,44,1
109,6,3,1,31,1
110,8,1,1,42,1
111,13,5,0,46,0
112,7,5,0,49,0
113,13,5,0,35,0
114,8,9,1,8,1
115,18,5,1,11,1
116,3,7,1,6,1
117,14,8,1,41,1
118,12,4,1,10,1
119,13,7,1,9,1
120,21,4,1,31,1
121,22,5,1,7,1
122,6,5,0,14,0
123,9,1,0,25,0
124,20,2,1,16,1
125,3,8,0,8,1
126,14,9,0,19,1
127,17,6,1,33,1
128,5,3,1,23,1
129,8,5,0,24,0
130,19,6,1,33,1
131,24,2,0,41,0
132,12,6,1,17,1
133,5,6,1,21,1
134,20,9,0,39,1
135,17,5,1,5,1
136,21,1,1,28,1
137,4,8,0,40,1
138,15,7,0,30,0
139,16,8,1,47,1
140,19,7,1,27,1
141,19,6,1,37,1
142,14,2,1,29,1
143,18,4,0,41,0
144,14,5,0,44,0
145,4,3,1,6,1
146,11,8,1,37,1
147,8,1,1,29,1
148,23,2,0,48,0
149,4,6,0,47,0
150,3,9,0,36,1
151,6,6,0,40,0
152,23,3,1,42,1
153,10,1,1,45,1
154,22,3,0,15,0
155,10,8,1,25,1
156,6,8,0,48,1
157,10,3,1,29,1
158,13,4,1,26,1
159,11,6,1,45,1
160,24,3,0,46,0
161,5,7,0,42,0
162,21,5,0,34,0
163,12,4,1,16,1
164,15,6,1,17,1
165,12,5,1,48,1
166,8,1,1,36,1
167,5,2,0,7,0
168,7,3,1,26,1
169,1,2,1,11,1
170,15,1,0,36,0
171,13,6,0,49,0
172,21,4,1,10,1
173,20,7,0,30,0
174,7,9,1,44,1
175,19,5,1,38,1
176,13,1,1,45,1
177,3,4,0,34,0
178,2,9,0,19,1
179,16,6,1,29,1
180,9,6,0,36,0
181,15,3,1,28,1
182,21,1,1,39,1
183,20,1,0,17,0
184,24,3,1,22,1
185,22,1,0,8,0
186,10,8,0,46,1
187,13,1,1,29,1
188,22,2,1,5,1
189,1,2,1,42,1
190,13,6,1,38,1
191,9,7,0,38,0
192,9,3,1,7,1
193,8,3,0,7,0
194,6,9,0,35,1
195,14,6,1,38,1
196,11,3,0,24,0
197,5,4,1,27,1
198,19,4,1,18,1
199,5,3,0,6,0
200,22,6,0,7,0
201,11,3,0,43,0
202,17,1,0,44,0
203,22,7,0,26,0
204,10,8,0,31,1
205,12,1,1,40,1
206,22,6,1,35,1
207,19,1,0,24,0
208,17,2,0,18,0
209,3,6,0,38,0
210,17,8,1,39,1
211,16,7,1,24,1
212,18,3,1,41,1
213,5,3,0,47,0
214,9,2,0,37,0
215,4,2,0,27,0
216,15,1,1,11,1
217,19,9,1,30,1
218,14,1,0,12,0
219,16,5,1,35,1
220,16,9,0,41,1
221,3,1,0,44,0
222,15,6,1,41,1
223,24,1,0,18,0
224,17,9,0,48,1
225,20,2,0,34,0
226,12,7,1,40,1
227,14,4,1,44,1
228,11,7,1,41,1
229,8,3,1,49,1
230,20,4,0,14,0
231,5,1,1,11,1
232,11,5,1,42,1
233,21,4,1,41,1
234,11,1,1,25,1
235,16,3,0,21,0
236,7,1,1,46,1
237,20,7,0,29,0
238,3,8,1,24,1
239,21,1,1,24,1
240,6,8,1,5,1
241,9,3,1,46,1
242,23,1,0,42,0
243,17,6,0,25,0
244,17,7,1,49,1
245,15,9,1,38,1
246,12,1,0,30,0
247,7,7,1,26,1
248,18,8,1,13,1
249,14,6,0,7,0
250,6,9,1,39,1
251,19,6,1,14,1
252,16,5,1,38,1
253,11,9,0,35,1
254,14,6,1,17,1
255,22,3,1,28,1
256,11,1,0,49,0
257,13,9,0,14,1
258,20,2,0,42,0
259,10,7,0,18,0
260,16,3,1,25,1
261,7,6,0,28,0
262,17,7,0,41,0
263,8,3,1,17,1
264,15,6,1,18,1
265,19,4,1,29,1
266,22,4,1,46,1
267,10,8,1,7,1
268,7,9,0,23,1
269,19,9,1,26,1
270,14,4,1,38,1
271,2,5,1,47,1
272,10,3,0,48,0
273,22,4,0,18,0
274,14,5,0,14,0
275,13,4,0,14,0
276,5,1,0,19,0
277,22,5,1,21,1
278,23,1,1,29,1
279,3,1,0,40,0
280,9,3,0,41,0
281,18,7,1,28,1
282,5,1,1,26,1
283,2,2,1,29,1
284,3,4,1,16,1
285,10,5,0,24,0
286,3,6,0,30,0
287,16,4,0,42,0
288,15,6,0,26,0
289,24,1,1,36,1
290,23,9,1,28,1
291,9,2,0,47,0
292,18,5,1,16,1
293,6,8,0,39,1
294,7,1,1,43,1
295,11,2,1,10,1
296,20,9,0,37,1
297,10,1,1,34,1
298,17,7,0,45,0
299,16,7,1,28,1
300,1,1,1,44,1
301,20,4,0,29,0
302,21,7,0,11,0
303,4,7,0,18,0
304,7,4,1,28,1
305,1,2,0,9,0
306,15,8,1,40,1
307,1,2,0,33,0
308,7,1,0,34,0
309,2,7,0,12,0
310,5,5,1,19,1
311,20,5,0,34,0
312,17,2,0,41,0
313,19,2,0,25,0
314,16,4,0,6,0
315,5,5,1,28,1
316,13,9,0,37,1
317,1,3,1,11,1
318,19,5,0,27,0
319,18,1,1,12,1
320,3,1,1,34,1
321,4,8,1,42,1
322,15,6,1,26,1
323,20,4,1,11,1
324,9,8,1,43,1
325,7,8,1,27,1
326,12,7,0,42,0
327,17,5,0,42,0
328,6,9,0,34,1
329,23,8,0,24,1
330,3,3,0,11,0
331,19,5,1,9,1
332,5,9,1,32,1
333,1,9,0,9,1
334,3,6,1,7,1
335,23,5,1,8,1
336,10,4,0,29,0
337,3,5,0,22,0
338,12,7,1,21,1
339,4,7,0,44,0
340,8,1,1,24,1
341,10,1,1,6,1
342,16,4,1,41,1
343,24,6,0,38,0
344,20,1,1,46,1
345,15,8,1,40,1
346,9,3,0,22,0
347,15,1,0,29,0
348,5,2,1,11,1
349,11,6,0,15,0
350,1,1,0,19,0
351,16,8,0,38,1
352,14,8,0,30,1
353,16,8,0,27,1
354,14,5,0,28,0
355,16,6,0,45,0
356,1,6,1,39,1
357,6,3,0,28,0
358,15,3,1,17,1
359,1,3,0,46,0
360,18,3,0,15,0
361,2,6,0,44,0
362,6,3,0,12,0
363,4,2,1,45,1
364,16,6,0,25,0
365,13,5,1,32,1
366,17,2,1,23,1
367,10,3,1,30,1
368,2,1,0,34,0
369,13,2,1,31,1
370,10,8,1,43,1
371,1,4,0,11,0
372,19,8,1,6,1
373,22,9,1,23,1
374,17,9,0,30,1
375,22,4,0,31,0
376,7,8,0,27,1
377,2,6,1,47,1
378,7,4,0,5,0
379,21,8,0,24,1
380,12,2,0,36,0
381,10,3,1,24,1
382,11,4,1,32,1
383,20,4,0,24,0
384,5,8,1,33,1
385,17,3,0,23,0
386,6,5,1,37,1
387,13,9,1,21,1
388,20,8,0,45,1
389,14,8,1,10,1
390,7,6,1,47,1
391,3,5,1,13,1
392,17,4,1,24,1
393,16,1,0,9,0
394,5,6,0,22,0
395,6,9,1,16,1
396,16,4,1,8,1
397,9,3,1,7,1
398,23,9,1,11,1
399,7,1,1,6,1
400,7,4,1,38,1
401,11,3,1,37,1
402,11,3,1,14,1
403,20,3,0,48,0
404,6,4,1,26,1
405,24,4,0,41,0
406,13,6,0,48,0
407,6,7,1,41,1
408,8,3,0,42,0
409,17,7,0,48,0
410,24,2,0,43,0
411,1,7,1,28,1
412,2,8,0,9,1
413,13,4,1,18,1
414,10,9,0,31,1
415,21,7,1,5,1
416,6,1,0,10,0
417,7,5,1,20,1
418,15,9,1,32,1
419,7,7,1,38,1
420,9,6,0,7,0
421,18,1,0,7,0
422,6,9,1,47,1
423,7,8,1,32,1
424,15,1,1,20,1
425,23,4,0,24,0
426,19,5,1,16,1
427,17,1,1,33,1
428,14,6,0,48,0
429,13,6,1,32,1
430,3,9,1,10,1
431,11,2,0,46,0
432,3,9,1,24,1
433,20,6,0,5,0
434,20,2,0,24,0
435,23,3,1,20,1
436,4,1,0,25,0
437,7,9,0,36,1
438,17,7,1,6,1
439,10,5,1,28,1
440,9,3,0,24,0
441,24,6,0,6,0
442,4,2,1,38,1
443,17,3,0,40,0
444,22,1,1,37,1
445,24,5,1,28,1
446,15,6,1,9,1
447,1,9,0,23,1
448,23,9,0,21,1
449,15,1,0,16,0
450,11,8,0,5,1
451,1,7,0,21,0
452,1,3,0,12,0
453,2,6,0,36,0
454,1,9,1,38,1
455,23,9,1,42,1
456,10,8,1,43,1
457,17,7,0,25,0
458,12,3,0,36,0
459,7,8,0,33,1
460,10,7,0,13,0
461,3,5,0,23,0
462,2,8,0,47,1
463,16,2,0,49,0
464,10,6,0,5,0
465,17,9,0,39,1
466,24,7,0,26,0
467,8,4,1,25,1
468,11,6,1,20,1
469,16,5,0,38,0
470,8,9,1,30,1
471,1,8,1,15,1
472,8,5,1,42,1
473,8,5,0,22,0
474,19,4,1,40,1
475,12,9,1,41,1
476,23,6,0,28,0
477,13,1,0,31,0
478,16,5,1,33,1
479,23,8,1,26,1
480,7,6,0,11,0
481,15,8,1,8,1
482,5,5,1,39,1
483,23,8,0,8,1
484,10,4,0,29,0
485,3,3,0,30,0
486,18,3,1,10,1
487,8,7,1,20,1
488,7,1,0,8,0
489,3,1,0,34,0
490,21,3,1,10,1
491,6,5,0,15,0
492,12,1,0,36,0
493,6,1,0,48,0
494,13,1,1,20,1
495,10,5,0,22,0
496,1,1,1,20,1
497,24,7,1,24,1
498,21,6,0,44,0
499,21,9,0,24,1
500,14,9,0,40,1
501,10,1,1,18,1
502,8,4,0,36,0
503,19,3,0,36,0
504,8,8,0,40,1
505,2,4,0,38,0
506,14,4,1,26,1
507,24,3,1,25,1
508,16,3,1,45,1
509,18,7,0,27,0
510,2,6,0,29,0
511,5,5,1,39,1
512,17,7,1,28,1
513,11,2,0,37,0
514,15,5,1,27,1
515,19,5,0,48,0
516,16,9,1,10,1
517,5,9,1,34,1
518,11,9,0,39,1
519,22,2,0,26,0
520,23,1,1,31,1
521,13,7,1,8,1
522,22,9,1,9,1
523,18,8,1,39,1
524,8,6,0,20,0
525,13,7,1,14,1
526,13,7,1,40,1
527,7,5,0,27,0
528,8,8,0,38,1
529,16,2,1,40,1
530,16,1,0,28,0
531,23,1,1,17,1
532,8,8,0,26,1
533,1,7,0,40,0
534,17,9,1,29,1
535,1,7,0,49,0
536,7,7,1,30,1
537,21,4,0,14,0
538,19,3,0,13,0
539,10,6,0,49,0
540,19,9,1,5,1
541,23,6,0,46,0
542,9,3,0,22,0
543,13,1,0,12,0
544,3,7,1,38,1
545,1,8,0,23,1
546,10,9,1,15,1
547,2,2,0,21,0
548,14,1,1,7,1
549,4,2,1,45,1
550,24,6,0,46,0
551,14,3,1,43,1
552,21,6,0,47,0
553,2,1,1,46,1
554,17,1,0,23,0
555,15,8,0,26,1
556,19,3,0,26,0
557,19,3,1,15,1
558,4,7,0,11,0
559,5,4,1,43,1
560,3,2,1,15,1
561,18,2,0,6,0
562,11,9,1,49,1
563,15,3,0,28,0
564,12,9,0,49,1
565,1,3,1,48,1
566,2,5,1,8,1
567,18,5,0,23,0
568,3,8,1,23,1
569,21,7,0,26,0
570,13,4,1,44,1
571,20,5,0,21,0
572,17,3,1,8,1
573,16,7,1,29,1
574,24,8,0,30,1
575,11,4,0,8,0
576,16,9,0,10,1
577,24,8,1,43,1
578,6,9,1,36,1
579,21,7,0,43,0
580,5,7,1,21,1
581,8,3,1,23,1
582,7,2,1,24,1
583,1,4,0,29,0
584,18,5,0,21,0
585,13,6,0,24,0
586,16,6,1,29,1
587,3,1,1,13,1
588,11,5,0,24,0
589,23,9,0,17,1
590,8,8,0,43,1
591,22,9,0,48,1
592,6,3,1,47,1
593,18,9,1,44,1
594,11,1,0,25,0
595,15,8,0,45,1
596,20,4,1,10,1
597,13,8,0,34,1
598,16,3,1,29,1
599,6,8,1,36,1
600,6,2,1,7,1
601,6,9,1,40,1
602,2,4,1,32,1
603,23,4,1,42,1
604,13,1,1,40,1
605,16,7,1,6,1
606,20,7,0,19,0
607,21,8,1,13,1
608,11,4,1,13,1
609,5,7,0,47,0
610,19,4,1,25,1
611,9,1,0,6,0
612,16,3,0,26,0
613,15,2,0,47,0
614,21,2,1,25,1
615,8,6,0,34,0
616,18,5,0,13,0
617,22,3,0,10,0
618,22,9,1,33,1
619,11,4,1,30,1
620,2,6,1,36,1
621,2,7,1,47,1
622,3,9,0,21,1
623,12,7,1,21,1
624,7,9,0,47,1
625,11,5,0,32,0
626,18,5,0,32,0
627,12,7,1,20,1
628,22,9,0,6,1
629,21,3,0,49,0
630,18,4,1,16,1
631,19,8,1,5,1
632,16,4,1,33,1
633,5,9,1,10,1
634,16,9,0,37,1
635,13,6,0,35,0
636,20,1,0,8,0
637,18,3,0,12,0
638,3,7,0,22,0
639,19,7,0,31,0
640,11,2,1,38,1
641,5,1,1,29,1
642,17,9,1,47,1
643,4,6,0,11,0
644,8,9,0,38,1
645,6,6,0,38,0
646,20,3,0,12,0
647,17,6,0,34,0
648,7,9,0,15,1
649,19,2,1,24,1
650,19,7,1,12,1
651,7,6,1,16,1
652,15,1,0,25,0
653,23,6,1,17,1
654,2,4,0,42,0
655,23,7,0,14,0
656,23,7,0,17,0
657,18,5,1,34,1
658,7,9,0,48,1
659,22,7,0,37,0
660,20,9,0,17,1
661,11,7,1,23,1
662,21,5,1,13,1
663,15,7,1,13,1
664,7,6,0,18,0
665,16,5,0,18,0
666,3,1,0,15,0
667,17,7,0,25,0
668,3,2,1,47,1
669,3,1,1,17,1
670,18,4,0,19,0
671,9,9,1,44,1
672,16,8,0,18,1
673,8,4,1,33,1
674,7,2,0,23,0
675,23,4,0,15,0
676,10,7,1,26,1
677,10,4,1,16,1
678,22,9,1,32,1
679,21,8,0,15,1
680,16,3,0,17,0
681,9,1,1,46,1
682,24,7,1,22,1
683,19,2,1,28,1
684,20,4,1,14,1
685,6,1,1,22,1
686,5,7,1,20,1
687,8,6,1,31,1
688,3,1,0,19,0
689,5,6,1,13,1
690,3,6,1,11,1
691,10,6,1,29,1
692,19,1,1,29,1
693,23,8,0,17,1
694,14,5,1,18,1
695,15,6,0,14,0
696,5,6,0,43,0
697,10,5,1,13,1
698,12,4,0,5,0
699,10,1,0,11,0
700,24,9,1,36,1
701,10,1,0,29,0
702,15,8,0,23,1
703,3,5,0,39,0
704,8,8,0,29,1
705,22,9,0,41,1
706,3,3,1,8,1
707,11,2,1,27,1
708,24,5,1,5,1
709,1,3,0,7,0
710,19,6,1,39,1
711,18,3,0,26,0
712,9,7,0,44,0
713,7,4,0,10,0
714,13,5,1,44,1
715,16,6,1,29,1
716,8,1,0,47,0
717,15,2,1,40,1
718,13,2,1,44,1
719,3,1,0,48,0
720,10,5,1,35,1
721,20,6,1,11,1
722,3,2,1,27,1
723,18,3,0,38,0
724,8,9,1,15,1
725,4,3,1,15,1
726,3,8,1,6,1
727,13,5,0,48,0
728,1,6,0,18,0
729,9,6,0,31,0
730,8,3,0,24,0
731,7,6,0,35,0
732,23,5,0,25,0
733,7,3,1,23,1
734,14,6,0,36,0
735,19,3,0,17,0
736,12,8,1,40,1
737,6,3,0,45,0
738,11,1,1,31,1
739,15,3,0,26,0
740,20,6,1,43,1
741,6,8,1,30,1
742,6,2,1,8,1
743,7,2,0,5,0
744,7,7,0,44,0
745,15,5,0,46,0
746,6,6,1,32,1
747,4,7,1,7,1
748,2,1,0,34,0
749,14,2,0,41,0
750,15,9,0,24,1
751,12,6,1,44,1
752,10,2,1,25,1
753,10,8,0,9,1
754,4,6,0,27,0
755,4,9,0,36,1
756,22,5,0,38,0
757,23,1,1,9,1
758,1,1,0,42,0
759,18,8,0,47,1
760,20,4,1,37,1
761,18,8,0,30,1
762,8,7,1,37,1
763,6,2,0,41,0
764,17,9,0,6,1
765,18,9,1,16,1
766,1,4,0,12,0
767,23,4,0,12,0
768,15,8,1,9,1
769,8,9,1,9,1
770,2,9,1,16,1
771,3,4,0,21,0
772,16,8,1,48,1
773,9,1,0,6,0
774,17,5,1,5,1
775,7,9,1,13,1
776,22,9,0,23,1
777,12,7,1,18,1
778,10,9,1,33,1
779,13,6,1,33,1
780,9,3,1,23,1
781,1,9,0,46,1
782,24,3,1,11,1
783,6,9,1,19,1
784,9,4,0,29,0
785,21,6,0,10,0
786,6,4,1,16,1
787,3,2,0,43,0
788,3,5,1,9,1
789,2,6,0,40,0
790,23,5,0,27,0
791,21,9,1,13,1
792,19,6,1,9,1
793,6,5,1,9,1
794,23,8,1,14,1
795,4,1,0,9,0
796,2,1,0,36,0
797,2,4,0,13,0
798,24,6,1,40,1
799,10,6,0,6,0
800,24,8,1,36,1
801,11,6,1,29,1
802,3,3,0,41,0
803,21,1,0,28,0
804,22,3,0,32,0
805,17,8,1,21,1
806,14,9,0,18,1
807,2,3,1,13,1
808,10,4,1,38,1
809,7,2,0,9,0
810,2,5,0,23,0
811,15,3,0,44,0
812,23,5,1,33,1
813,17,8,1,15,1
814,9,9,1,20,1
815,5,6,0,34,0
816,15,1,0,22,0
817,15,2,0,20,0
818,24,9,1,40,1
819,13,5,1,45,1
820,15,2,1,10,1
821,23,6,1,6,1
822,4,5,1,20,1
823,15,3,0,39,0
824,10,6,0,8,0
825,21,7,1,16,1
826,18,9,1,24,1
827,17,7,1,23,1
828,18,7,1,26,1
829,15,5,1,26,1
830,6,3,1,13,1
831,18,4,1,48,1
832,5,8,0,45,1
833,15,2,1,34,1
834,20,2,0,12,0
835,19,3,1,20,1
836,4,6,1,42,1
837,11,1,0,29,0
838,2,7,0,37,0
839,22,1,0,36,0
840,24,8,0,45,1
841,3,9,0,35,1
842,14,1,1,20,1
843,3,7,0,5,0
844,9,6,1,48,1
845,7,5,0,37,0
846,16,2,1,40,1
847,24,2,0,12,0
848,4,1,0,41,0
849,11,6,1,16,1
850,3,9,0,25,1
851,5,4,0,34,0
852,7,3,0,36,0
853,13,4,0,41,0
854,10,3,1,19,1
855,23,1,0,17,0
856,1,9,0,6,1
857,23,1,0,9,0
858,13,2,1,43,1
859,17,9,0,37,1
860,8,2,0,30,0
861,15,6,1,38,1
862,11,3,0,7,0
863,22,5,1,32,1
864,8,9,1,29,1
865,2,5,1,6,1
866,14,3,1,49,1
867,14,6,1,39,1
868,5,4,1,16,1
869,9,8,1,47,1
870,14,8,0,37,1
871,5,1,0,45,0
872,6,6,0,20,0
873,6,8,1,12,1
874,13,9,0,41,1
875,19,4,0,24,0
876,14,9,0,49,1
877,2,8,0,5,1
878,22,3,1,13,1
879,3,6,1,19,1
880,16,7,0,32,0
881,22,5,0,31,0
882,9,3,0,39,0
883,18,8,0,19,1
884,23,7,0,43,0
885,15,1,0,34,0
886,1,7,0,12,0
887,14,8,0,45,1
888,5,3,1,6,1
889,13,3,0,32,0
890,7,5,1,43,1
891,15,8,1,13,1
892,8,6,0,6,0
893,23,4,1,36,1
894,11,2,0,48,0
895,9,5,1,9,1
896,2,7,0,6,0
897,13,6,1,31,1
898,20,8,0,6,1
899,24,1,0,42,0
900,2,7,0,18,0
901,21,4,1,46,1
902,21,6,1,26,1
903,11,9,0,8,1
904,6,7,0,21,0
905,11,5,1,29,1
906,24,1,0,32,0
907,19,7,1,31,1
908,3,6,0,17,0
909,2,2,1,25,1
910,20,2,1,9,1
911,9,2,0,8,0
912,15,7,1,8,1
913,3,5,1,31,1
914,13,2,0,31,0
915,8,8,0,17,1
916,9,3,0,13,0
917,21,1,1,33,1
918,13,8,0,12,1
919,6,6,0,22,0
920,21,8,0,22,1
921,16,6,0,39,0
922,24,8,1,38,1
923,7,7,0,26,0
924,11,1,0,41,0
925,24,7,1,25,1
926,16,1,1,5,1
927,19,1,1,21,1
928,1,6,1,47,1
929,15,2,1,33,1
930,20,5,0,36,0
931,1,6,0,21,0
932,7,8,1,20,1
933,14,9,0,17,1
934,2,4,1,10,1
935,8,9,1,43,1
936,10,2,1,12,1
937,22,3,0,7,0
938,9,2,0,27,0
939,15,4,0,39,0
940,3,9,0,46,1
941,10,1,1,22,1
942,16,8,1,49,1
943,16,8,0,10,1
944,7,1,1,32,1
945,12,5,1,17,1
946,11,1,0,31,0
947,8,7,1,37,1
948,13,1,0,33,0
949,24,5,1,26,1
950,18,8,0,22,1
951,11,6,0,15,0
952,15,8,0,48,1
953,12,5,1,20,1
954,5,9,1,16,1
955,23,7,0,38,0
956,21,9,0,22,1
957,24,3,1,32,1
958,11,4,0,37,0
959,9,7,0,30,0
960,11,1,0,44,0
961,3,4,0,35,0
962,20,4,0,15,0
963,22,8,0,46,1
964,4,2,0,31,0
965,24,8,0,35,1
966,1,3,0,16,0
967,15,2,0,10,0
968,8,4,1,40,1
969,4,4,0,10,0
970,1,2,0,17,0
971,13,8,0,46,1
972,11,2,1,45,1
973,14,2,1,24,1
974,13,4,1,45,1
975,21,9,1,17,1
976,21,7,1,24,1
977,5,6,1,25,1
978,2,1,1,21,1
979,18,1,0,5,0
980,3,6,1,15,1
981,19,3,0,19,0
982,8,4,1,32,1
983,17,1,0,16,0
984,21,6,0,6,0
985,8,3,0,7,0
986,13,9,1,45,1
987,9,5,1,29,1
988,8,1,0,11,0
989,9,2,0,40,0
990,16,2,0,15,0
991,13,1,0,29,0
992,16,9,1,42,1
993,21,6,0,13,0
994,20,6,1,12,1
995,11,4,1,47,1
996,12,3,1,23,1
997,23,9,0,8,1
998,1,1,1,26,1
999,13,2,1,32,1
1000,7,3,0,20,0
1001,22,8,0,19,1
1002,8,7,0,38,0
1003,8,4,1,14,1
1004,24,5,0,8,0
1005,16,8,1,44,1
1006,20,3,0,35,0
1007,24,5,1,36,1
1008,15,3,0,34,0
1009,16,1,1,20,1
1010,23,9,0,15,1
1011,7,2,0,27,0
1012,18,8,0,42,1
1013,13,4,0,42,0
1014,15,6,0,21,0
1015,20,3,0,16,0
1016,21,5,1,42,1
1017,15,2,0,11,0
1018,7,3,1,10,1
1019,7,3,0,18,0
1020,1,9,1,36,1
1021,5,7,0,26,0
1022,11,9,1,39,1
1023,24,2,1,27,1
1024,21,4,1,25,1
1025,11,4,0,17,0
1026,11,4,1,38,1
1027,24,9,0,37,1
1028,12,1,1,44,1
1029,13,5,1,6,1
1030,13,4,0,28,0
1031,17,7,1,8,1
1032,23,6,1,29,1
1033,19,6,0,30,0
1034,19,7,1,8,1
1035,23,1,0,43,0
1036,24,1,1,21,1
1037,2,2,0,28,0
1038,9,8,0,39,1
1039,23,4,0,5,0
1040,1,9,0,22,1
1041,1,8,0,38,1
1042,15,8,1,26,1
1043,1,7,0,36,0
1044,10,6,0,48,0
1045,8,8,1,28,1
1046,24,8,1,23,1
1047,12,1,1,25,1
1048,24,8,0,44,1
1049,6,8,1,17,1
1050,12,8,1,46,1
1051,16,5,1,30,1
1052,1,8,1,16,1
1053,18,9,1,19,1
1054,13,9,0,49,1
1055,20,5,0,35,0
1056,8,4,1,32,1
1057,21,3,1,37,1
1058,20,8,0,34,1
1059,16,5,0,9,0
1060,3,3,1,18,1
1061,7,8,1,28,1
1062,9,4,1,37,1
1063,15,8,0,20,1
1064,23,2,0,33,0
1065,18,5,1,33,1
1066,16,7,1,48,1
1067,9,7,1,48,1
1068,18,1,1,49,1
1069,1,3,0,48,0
1070,7,1,0,9,0
1071,7,6,0,26,0
1072,19,9,1,48,1
1073,11,5,0,29,0
1074,11,2,1,6,1
1075,17,6,0,13,0
1076,9,7,1,12,1
1077,24,9,0,14,1
1078,9,3,0,32,0
1079,21,2,1,31,1
1080,22,3,0,13,0
1081,12,1,0,39,0
1082,20,6,0,25,0
1083,20,6,1,8,1
1084,11,5,0,5,0
1085,24,5,0,26,0
1086,22,8,1,33,1
1087,11,7,1,43,1
1088,10,9,1,41,1
1089,6,6,1,43,1
1090,7,2,0,49,0
1091,6,9,0,26,1
1092,2,5,0,13,0
1093,13,3,0,12,0
1094,1,2,1,11,1
1095,11,8,1,13,1
1096,15,4,1,18,1
1097,23,5,0,45,0
1098,3,6,0,46,0
1099,21,8,1,27,1
1100,3,9,0,34,1
1101,23,5,1,27,1
1102,14,1,0,13,0
1103,19,2,1,36,1
1104,24,7,1,9,1
1105,18,1,1,9,1
1106,10,3,0,25,0
1107,5,1,0,18,0
1108,24,4,1,30,1
1109,22,1,1,12,1
1110,7,1,1,45,1
1111,4,6,0,19,0
1112,22,5,0,14,0
1113,13,5,1,25,1
1114,22,7,1,22,1
1115,13,8,1,8,1
1116,19,8,1,7,1
1117,3,9,1,16,1
1118,5,7,1,36,1
1119,7,1,0,15,0
1120,20,1,0,6,0
1121,14,3,1,28,1
1122,14,9,0,40,1
1123,13,4,0,20,0
1124,13,6,0,10,0
1125,8,4,0,23,0
1126,10,4,0,36,0
1127,6,5,0,34,0
1128,12,8,1,41,1
1129,3,7,0,5,0
1130,21,4,1,32,1
1131,7,5,0,49,0
1132,3,4,0,19,0
1133,3,8,1,32,1
1134,6,7,1,42,1
1135,19,2,0,40,0
1136,4,8,0,20,1
1137,6,1,1,28,1
1138,11,1,1,44,1
1139,14,9,1,13,1
1140,8,8,1,37,1
1141,20,1,1,46,1
1142,8,1,1,37,1
1143,18,4,1,12,1
1144,7,5,0,29,0
1145,11,8,0,19,1
1146,22,3,1,23,1
1147,16,6,1,44,1
1148,9,5,1,15,1
1149,21,8,0,23,1
